Images	Registration Score	Mean ON	Mean OFF	Separation Metric	Num ON	Signal To Noise	Cut Off	Focus Score 1
R01C01_1_Swath1_Channel1	1.549352	6423.52	693.6619	147805	1636242	2.024329	2381	0.5413019
R01C01_1_Swath1_Channel2	1.549352	11283.81	1738.893	137735	1139305	1.999055	5173	0.4980263
R01C01_1_Channel1	0	6423.52	693.6619	147805	1636242	2.024329	2381	
R01C01_1_Channel2	0	11283.81	1738.893	137735	1139305	1.999055	5173	
R01C01_2_Swath1_Channel1	1.550076	6466.622	682.1855	148388	1662205	1.991861	2307	0.5373748
R01C01_2_Swath1_Channel2	1.550076	11180.65	1724.872	140042	1151787	1.981728	5064	0.4959229
R01C01_2_Channel1	0	6466.622	682.1855	148388	1662205	1.991861	2307	
R01C01_2_Channel2	0	11180.65	1724.872	140042	1151787	1.981728	5064	
R01C01_3_Swath1_Channel1	1.550749	6751.435	749.9977	162988	1624867	2.018699	2545	0.5370672
R01C01_3_Swath1_Channel2	1.550749	11373.02	1754.649	139711	1149421	1.978481	5161	0.4915032
R01C01_3_Channel1	0	6751.435	749.9977	162988	1624867	2.018699	2545	
R01C01_3_Channel2	0	11373.02	1754.649	139711	1149421	1.978481	5161	
R01C01_4_Swath1_Channel1	1.543715	7140.103	899.46	157527	1484617	2.053466	3053	0.5279509
R01C01_4_Swath1_Channel2	1.543715	11456.31	1761.618	137636	1107322	1.976637	5290	0.4781419
R01C01_4_Channel1	0	7140.103	899.46	157527	1484617	2.053466	3053	
R01C01_4_Channel2	0	11456.31	1761.618	137636	1107322	1.976637	5290	
R01C01_5_Swath1_Channel1	1.550955	7617.664	859.4971	158539	1592623	1.972438	2904	0.5335295
R01C01_5_Swath1_Channel2	1.550955	12558.25	1886.705	137431	1109363	1.970103	5734	0.4781258
R01C01_5_Channel1	0	7617.664	859.4971	158539	1592623	1.972438	2904	
R01C01_5_Channel2	0	12558.25	1886.705	137431	1109363	1.970103	5734	
R02C01_1_Swath1_Channel1	1.555769	7623.864	865.3419	153730	1616539	2.005701	2873	0.5379184
R02C01_1_Swath1_Channel2	1.555769	11958.79	1801.398	148316	1107374	1.990481	5473	0.4721724
R02C01_1_Channel1	0	7623.864	865.3419	153730	1616539	2.005701	2873	
R02C01_1_Channel2	0	11958.79	1801.398	148316	1107374	1.990481	5473	
R02C01_2_Swath1_Channel1	1.553311	7781.086	886.4969	152573	1621301	2.009977	2920	0.5354738
R02C01_2_Swath1_Channel2	1.553311	11967.91	1804.056	136178	1120497	1.991694	5427	0.4741697
R02C01_2_Channel1	0	7781.086	886.4969	152573	1621301	2.009977	2920	
R02C01_2_Channel2	0	11967.91	1804.056	136178	1120497	1.991694	5427	
R02C01_3_Swath1_Channel1	1.55727	8163.566	916.9587	152858	1635550	1.998774	3003	0.539314
R02C01_3_Swath1_Channel2	1.55727	12299.35	1849.686	135457	1119698	1.993739	5575	0.4756921
R02C01_3_Channel1	0	8163.566	916.9587	152858	1635550	1.998774	3003	
R02C01_3_Channel2	0	12299.35	1849.686	135457	1119698	1.993739	5575	
R02C01_4_Swath1_Channel1	1.551071	9072.392	1253.828	156412	1415221	2.124878	4177	0.5336702
R02C01_4_Swath1_Channel2	1.551071	12494.92	1855.511	134719	1095551	1.979827	5682	0.4612034
R02C01_4_Channel1	0	9072.392	1253.828	156412	1415221	2.124878	4177	
R02C01_4_Channel2	0	12494.92	1855.511	134719	1095551	1.979827	5682	
R02C01_5_Swath1_Channel1	1.558508	9222.091	1071.445	156273	1579194	2.001872	3566	0.5363682
R02C01_5_Swath1_Channel2	1.558508	13447.13	1975.918	132698	1093535	1.989358	6115	0.4724619
R02C01_5_Channel1	0	9222.091	1071.445	156273	1579194	2.001872	3566	
R02C01_5_Channel2	0	13447.13	1975.918	132698	1093535	1.989358	6115	
