Date	Beadchip	Section	FocusGrn	RegGrn	P05Grn	P95Grn	FocusRed	RegRed	P05Red	P95Red
6/16/2022 2:53:04 PM	206103240009	R01C01_1	0.54	1.55	0.00	10071.52	0.50	1.55	0.00	16037.68
6/16/2022 2:53:27 PM	206103240009	R01C01_2	0.54	1.55	0.00	10227.71	0.50	1.55	0.00	15990.56
6/16/2022 2:53:46 PM	206103240009	R01C01_3	0.54	1.55	0.00	10549.19	0.49	1.55	0.00	16238.31
6/16/2022 2:54:07 PM	206103240009	R01C01_4	0.53	1.54	0.00	10720.49	0.48	1.54	0.00	16141.30
6/16/2022 2:54:51 PM	206103240009	R01C01_5	0.53	1.55	0.00	11949.80	0.48	1.55	0.00	17760.41
6/16/2022 2:54:51 PM	206103240009	R02C01_1	0.54	1.56	0.00	11945.76	0.47	1.56	0.00	16918.71
6/16/2022 2:55:09 PM	206103240009	R02C01_2	0.54	1.55	0.00	12195.82	0.47	1.55	0.00	16990.17
6/16/2022 2:55:31 PM	206103240009	R02C01_3	0.54	1.56	0.00	12858.66	0.48	1.56	0.00	17462.84
6/16/2022 2:55:52 PM	206103240009	R02C01_4	0.53	1.55	0.00	13250.47	0.46	1.55	0.00	17602.07
6/16/2022 2:56:35 PM	206103240009	R02C01_5	0.54	1.56	0.00	14420.54	0.47	1.56	0.00	19014.77
6/16/2022 2:56:36 PM	206103240009	R03C01_1	0.54	1.56	0.00	14053.76	0.48	1.56	0.00	18116.34
6/16/2022 2:56:59 PM	206103240009	R03C01_2	0.55	1.56	0.00	14369.27	0.48	1.56	0.00	18390.90
6/16/2022 2:57:20 PM	206103240009	R03C01_3	0.55	1.56	0.00	14825.71	0.48	1.56	0.00	18597.96
6/16/2022 2:57:40 PM	206103240009	R03C01_4	0.54	1.56	0.00	15293.21	0.48	1.56	0.00	18921.94
6/16/2022 2:58:24 PM	206103240009	R03C01_5	0.55	1.56	0.00	15756.56	0.49	1.56	0.00	19558.65
6/16/2022 2:58:24 PM	206103240009	R04C01_1	0.55	1.56	0.00	14627.11	0.50	1.56	0.00	17817.87
6/16/2022 2:58:43 PM	206103240009	R04C01_2	0.55	1.56	0.00	14902.52	0.49	1.56	0.00	17888.20
6/16/2022 2:59:05 PM	206103240009	R04C01_3	0.54	1.56	0.00	15316.10	0.49	1.56	0.00	18266.04
6/16/2022 2:59:28 PM	206103240009	R04C01_4	0.54	1.56	0.00	15526.72	0.49	1.56	0.00	18584.59
6/16/2022 3:00:11 PM	206103240009	R04C01_5	0.54	1.56	0.00	15255.95	0.49	1.56	0.00	18627.21
6/16/2022 3:00:14 PM	206103240009	R05C01_1	0.55	1.56	0.00	15630.98	0.49	1.56	0.00	19022.13
6/16/2022 3:00:32 PM	206103240009	R05C01_2	0.54	1.56	0.00	15667.61	0.48	1.56	0.00	18975.57
6/16/2022 3:00:52 PM	206103240009	R05C01_3	0.54	1.56	0.00	15836.35	0.48	1.56	0.00	19224.40
6/16/2022 3:01:14 PM	206103240009	R05C01_4	0.53	1.56	0.00	16021.09	0.47	1.56	0.00	19499.39
6/16/2022 3:01:58 PM	206103240009	R05C01_5	0.53	1.56	0.00	16109.63	0.48	1.56	0.00	20237.83
6/16/2022 3:01:58 PM	206103240009	R06C01_1	0.53	1.56	0.00	15735.12	0.47	1.56	0.00	18981.48
6/16/2022 3:02:18 PM	206103240009	R06C01_2	0.53	1.56	0.00	15756.82	0.47	1.56	0.00	19173.28
6/16/2022 3:02:39 PM	206103240009	R06C01_3	0.53	1.56	0.00	16078.22	0.46	1.56	0.00	19540.79
6/16/2022 3:03:00 PM	206103240009	R06C01_4	0.53	1.55	0.00	16470.12	0.47	1.55	0.00	20431.37
6/16/2022 3:03:41 PM	206103240009	R07C01_1	0.55	1.56	0.00	0.00	0.48	1.56	0.00	0.00
6/16/2022 3:03:43 PM	206103240009	R06C01_5	0.54	1.56	0.00	16176.76	0.47	1.56	0.00	20999.12
6/16/2022 3:04:03 PM	206103240009	R07C01_2	0.54	1.56	0.00	16061.94	0.48	1.56	0.00	20025.95
6/16/2022 3:04:27 PM	206103240009	R07C01_3	0.54	1.56	0.00	16447.92	0.48	1.56	0.00	20526.41
6/16/2022 3:04:48 PM	206103240009	R07C01_4	0.54	1.56	0.00	16253.73	0.47	1.56	0.00	20704.90
6/16/2022 3:05:28 PM	206103240009	R07C01_5	0.54	1.56	0.00	16277.07	0.48	1.56	0.00	21561.14
6/16/2022 3:05:32 PM	206103240009	R08C01_1	0.53	1.56	0.00	16077.34	0.46	1.56	0.00	19913.01
6/16/2022 3:05:51 PM	206103240009	R08C01_2	0.52	1.56	0.00	15476.13	0.45	1.56	0.00	18968.84
6/16/2022 3:06:13 PM	206103240009	R08C01_3	0.51	1.55	0.00	15483.89	0.42	1.55	0.00	19039.92
6/16/2022 3:06:35 PM	206103240009	R08C01_4	0.50	1.54	0.00	15892.94	0.39	1.54	0.00	19736.33
6/16/2022 3:07:16 PM	206103240009	R08C01_5	0.49	1.53	0.00	15378.44	0.37	1.53	0.00	19616.43
